Evaluate office environment:
evaluate mppi
Model mode: PlainNet, model type: q_no
pybullet build time: May 28 2020 16:37:34
skill prior type: gauss
success rate: 0.7222222222222222
episode index: 36
episode time: 18.00706911087036
success rate: 0.7027027027027027
episode index: 37
episode time: 18.33638572692871
success rate: 0.6842105263157895
episode index: 38
episode time: 5.987246990203857
success rate: 0.6923076923076923
episode index: 39
episode time: 7.941936254501343
success rate: 0.7
episode index: 40
episode time: 17.26002287864685
success rate: 0.6829268292682927
episode index: 41
episode time: 17.392860889434814
success rate: 0.6666666666666666
episode index: 42
episode time: 11.155551671981812
success rate: 0.6744186046511628
episode index: 43
episode time: 17.469096660614014
success rate: 0.6590909090909091
episode index: 44
episode time: 6.713423490524292
success rate: 0.6666666666666666
episode index: 45
episode time: 17.132667303085327
success rate: 0.6739130434782609
episode index: 46
episode time: 4.89456033706665
success rate: 0.6808510638297872
episode index: 47
episode time: 13.368037700653076
success rate: 0.6875
episode index: 48
episode time: 13.028087139129639
success rate: 0.6938775510204082
episode index: 49
episode time: 10.035558223724365
success rate: 0.7
episode index: 50
episode time: 9.107875347137451
success rate: 0.7058823529411765
episode index: 51
episode time: 7.401617527008057
success rate: 0.7115384615384616
episode index: 52
episode time: 16.28851866722107
success rate: 0.7169811320754716
episode index: 53
episode time: 5.9278504848480225
success rate: 0.7222222222222222
episode index: 54
episode time: 8.93407416343689
success rate: 0.7272727272727273
episode index: 55
episode time: 5.574131488800049
success rate: 0.7321428571428571
episode index: 56
episode time: 6.0623955726623535
success rate: 0.7368421052631579
episode index: 57
episode time: 16.18876576423645
success rate: 0.7241379310344828
episode index: 58
episode time: 2.1835150718688965
success rate: 0.7288135593220338
episode index: 59
episode time: 3.8991050720214844
success rate: 0.7333333333333333
episode index: 60
episode time: 2.754476547241211
success rate: 0.7377049180327869
episode index: 61
episode time: 13.47783899307251
success rate: 0.7419354838709677
episode index: 62
episode time: 5.43182110786438
success rate: 0.746031746031746
episode index: 63
episode time: 4.0251381397247314
success rate: 0.75
episode index: 64
episode time: 18.11926507949829
success rate: 0.7384615384615385
episode index: 65
episode time: 7.587939262390137
success rate: 0.7424242424242424
episode index: 66
episode time: 10.626883029937744
success rate: 0.746268656716418
episode index: 67
episode time: 17.74238681793213
success rate: 0.75
episode index: 68
episode time: 8.511091947555542
success rate: 0.7536231884057971
episode index: 69
episode time: 4.05599308013916
success rate: 0.7571428571428571
episode index: 70
episode time: 5.254754066467285
success rate: 0.7605633802816901
episode index: 71
episode time: 11.857035160064697
success rate: 0.7638888888888888
episode index: 72
episode time: 14.465985774993896
success rate: 0.7534246575342466
episode index: 73
episode time: 14.899947166442871
success rate: 0.7567567567567568
episode index: 74
episode time: 3.0354623794555664
success rate: 0.76
episode index: 75
episode time: 15.75653862953186
success rate: 0.7631578947368421
episode index: 76
episode time: 7.795726776123047
success rate: 0.7662337662337663
episode index: 77
episode time: 6.539730072021484
success rate: 0.7692307692307693
episode index: 78
episode time: 13.208410739898682
success rate: 0.7721518987341772
episode index: 79
episode time: 15.040546894073486
success rate: 0.775
episode index: 80
episode time: 5.771158933639526
success rate: 0.7777777777777778
episode index: 81
episode time: 4.934849739074707
success rate: 0.7804878048780488
episode index: 82
episode time: 4.104441404342651
success rate: 0.7831325301204819
episode index: 83
episode time: 19.949225187301636
success rate: 0.7738095238095238
episode index: 84
episode time: 5.879286527633667
success rate: 0.7764705882352941
episode index: 85
episode time: 2.508181571960449
success rate: 0.7790697674418605
episode index: 86
episode time: 17.470372438430786
success rate: 0.7701149425287356
episode index: 87
episode time: 17.01344585418701
success rate: 0.7613636363636364
episode index: 88
episode time: 17.737177848815918
success rate: 0.7528089887640449
episode index: 89
episode time: 3.7147488594055176
success rate: 0.7555555555555555
episode index: 90
episode time: 17.662270545959473
success rate: 0.7472527472527473
episode index: 91
episode time: 15.643832445144653
success rate: 0.75
episode index: 92
